layer,layerName,stage,sparsity,eval_loss,eval_top1,eval_top5
43,layer4.0.conv1,1,0.09999999999999999,0.9858 (0.9632),75.0000 (76.0160),92.9688 (92.9280)
43,layer4.0.conv1,2,0.19999999999999998,0.9864 (0.9639),75.0000 (75.9780),92.5781 (92.9000)
43,layer4.0.conv1,2,0.19999999999999998,0.9519 (0.9639),75.7812 (75.9780),93.3594 (92.9000)
43,layer4.0.conv1,3,0.3,0.9874 (0.9645),74.6094 (75.9960),92.5781 (92.9000)
43,layer4.0.conv1,3,0.3,0.9537 (0.9645),75.7812 (75.9960),93.3594 (92.9000)
43,layer4.0.conv1,4,0.39999999999999997,1.0011 (0.9681),75.0000 (75.8780),92.5781 (92.9020)
43,layer4.0.conv1,4,0.39999999999999997,0.9602 (0.9681),75.7812 (75.8780),93.3594 (92.9020)
43,layer4.0.conv1,5,0.5,0.9726 (0.9758),75.3906 (75.7000),93.3594 (92.7780)
43,layer4.0.conv1,5,0.5,1.0091 (0.9758),75.0000 (75.7000),92.8571 (92.7780)
43,layer4.0.conv1,6,0.6,0.9788 (0.9859),75.3906 (75.4040),92.5781 (92.6600)
43,layer4.0.conv1,6,0.6,1.0285 (0.9859),74.2188 (75.4040),92.5781 (92.6600)
43,layer4.0.conv1,7,0.7000000000000001,1.0044 (1.0147),75.0000 (74.6140),92.5781 (92.3220)
43,layer4.0.conv1,7,0.7000000000000001,1.0507 (1.0147),73.8095 (74.6140),92.1875 (92.3220)
43,layer4.0.conv1,8,0.7999999999999999,1.0996 (1.0775),71.8750 (73.2300),91.0714 (91.5900)
43,layer4.0.conv1,8,0.7999999999999999,1.0728 (1.0775),73.4375 (73.2300),91.7969 (91.5900)
43,layer4.0.conv1,9,0.9,1.2578 (1.2689),69.1406 (68.7800),88.6719 (89.0680)
43,layer4.0.conv1,9,0.9,1.3144 (1.2689),67.1875 (68.7800),89.0625 (89.0680)
44,layer4.0.conv2,1,0.09999999999999999,0.9515 (0.9626),76.1719 (75.9960),93.3594 (92.9420)
44,layer4.0.conv2,1,0.09999999999999999,0.9860 (0.9626),75.0000 (75.9960),92.5781 (92.9420)
44,layer4.0.conv2,2,0.19999999999999998,0.9856 (0.9626),74.6094 (76.0100),92.5781 (92.9440)
44,layer4.0.conv2,2,0.19999999999999998,0.9524 (0.9626),76.1719 (76.0100),93.3594 (92.9440)
44,layer4.0.conv2,3,0.3,0.9892 (0.9632),75.0000 (75.9720),92.5781 (92.9640)
44,layer4.0.conv2,3,0.3,0.9519 (0.9632),75.7812 (75.9720),93.3594 (92.9640)
44,layer4.0.conv2,4,0.39999999999999997,0.9543 (0.9636),75.7812 (76.0060),93.3594 (92.9240)
44,layer4.0.conv2,4,0.39999999999999997,0.9948 (0.9636),75.0000 (76.0060),92.5781 (92.9240)
44,layer4.0.conv2,5,0.5,0.9511 (0.9661),75.3906 (75.9520),93.3594 (92.9040)
44,layer4.0.conv2,5,0.5,0.9974 (0.9661),74.6094 (75.9520),92.5781 (92.9040)
44,layer4.0.conv2,6,0.6,0.9574 (0.9729),75.3906 (75.8120),92.9688 (92.8400)
44,layer4.0.conv2,6,0.6,1.0032 (0.9729),74.6094 (75.8120),92.9688 (92.8400)
44,layer4.0.conv2,7,0.7000000000000001,1.0313 (0.9904),74.2188 (75.2340),91.7969 (92.5140)
44,layer4.0.conv2,7,0.7000000000000001,0.9810 (0.9904),75.3906 (75.2340),92.5781 (92.5140)
44,layer4.0.conv2,8,0.7999999999999999,1.1025 (1.0600),72.6562 (73.4840),91.0156 (91.6880)
44,layer4.0.conv2,8,0.7999999999999999,1.0506 (1.0600),73.4375 (73.4840),91.7969 (91.6880)
44,layer4.0.conv2,9,0.9,1.4619 (1.4268),64.8438 (66.2180),86.7188 (87.3960)
44,layer4.0.conv2,9,0.9,1.4235 (1.4268),67.1875 (66.2180),87.5000 (87.3960)
45,layer4.0.conv3,1,0.09999999999999999,0.9512 (27355117839841.6289),76.1719 (76.0180),93.3594 (92.9400)
45,layer4.0.conv3,1,0.09999999999999999,0.9865 (27355117839841.6289),75.0000 (76.0180),92.5781 (92.9400)
45,layer4.0.conv3,2,0.19999999999999998,0.9513 (0.9634),75.7812 (76.0100),93.3594 (92.9460)
45,layer4.0.conv3,2,0.19999999999999998,0.9866 (0.9634),75.0000 (76.0100),92.9688 (92.9460)
45,layer4.0.conv3,3,0.3,0.9892 (0.9644),75.0000 (76.0200),92.9688 (92.9140)
45,layer4.0.conv3,3,0.3,0.9519 (0.9644),75.7812 (76.0200),93.3594 (92.9140)
45,layer4.0.conv3,4,0.39999999999999997,0.9880 (0.9647),75.0000 (75.9640),92.5781 (92.8880)
45,layer4.0.conv3,4,0.39999999999999997,0.9544 (0.9647),75.7812 (75.9640),93.3594 (92.8880)
45,layer4.0.conv3,5,0.5,0.9658 (0.9692),75.7812 (75.8420),93.3594 (92.8260)
45,layer4.0.conv3,5,0.5,0.9933 (0.9692),75.0000 (75.8420),92.5781 (92.8260)
45,layer4.0.conv3,6,0.6,0.9758 (0.9750),75.3906 (75.6240),92.9688 (92.7020)
45,layer4.0.conv3,6,0.6,1.0002 (0.9750),74.2188 (75.6240),92.1875 (92.7020)
45,layer4.0.conv3,7,0.7000000000000001,1.0108 (0.9878),73.8281 (75.0720),92.1875 (92.4840)
45,layer4.0.conv3,7,0.7000000000000001,0.9861 (0.9878),74.2188 (75.0720),92.5781 (92.4840)
45,layer4.0.conv3,8,0.7999999999999999,1.0259 (22306995980581.5898),74.2188 (74.1100),91.7969 (92.0080)
45,layer4.0.conv3,8,0.7999999999999999,1.0566 (22306995980581.5898),72.2656 (74.1100),91.4062 (92.0080)
45,layer4.0.conv3,9,0.9,1.1911 (1.1873),71.4844 (71.1300),90.6250 (90.4460)
45,layer4.0.conv3,9,0.9,1.2117 (1.1873),69.5312 (71.1300),90.2344 (90.4460)
46,layer4.0.downsample.0,1,0.09999999999999999,0.9857 (0.9626),75.0000 (76.0200),92.5781 (92.9520)
46,layer4.0.downsample.0,1,0.09999999999999999,0.9509 (0.9626),76.1719 (76.0200),93.3594 (92.9520)
46,layer4.0.downsample.0,2,0.19999999999999998,0.9512 (0.9628),76.1719 (76.0000),93.3594 (92.9560)
46,layer4.0.downsample.0,2,0.19999999999999998,0.9878 (0.9628),75.0000 (76.0000),92.9688 (92.9560)
46,layer4.0.downsample.0,3,0.3,0.9878 (0.9624),75.0000 (76.0000),92.9688 (92.9540)
46,layer4.0.downsample.0,3,0.3,0.9520 (0.9624),76.1719 (76.0000),93.3594 (92.9540)
46,layer4.0.downsample.0,4,0.39999999999999997,0.9512 (0.9626),75.7812 (75.9720),92.9688 (92.9520)
46,layer4.0.downsample.0,4,0.39999999999999997,0.9922 (0.9626),74.6094 (75.9720),92.5781 (92.9520)
46,layer4.0.downsample.0,5,0.5,0.9511 (0.9622),75.7812 (75.9280),92.9688 (92.9520)
46,layer4.0.downsample.0,5,0.5,0.9940 (0.9622),74.6094 (75.9280),92.9688 (92.9520)
46,layer4.0.downsample.0,6,0.6,0.9981 (0.9624),74.6094 (75.9120),92.5781 (92.9180)
46,layer4.0.downsample.0,6,0.6,0.9524 (0.9624),75.3906 (75.9120),93.3594 (92.9180)
46,layer4.0.downsample.0,7,0.7000000000000001,0.9559 (0.9658),75.3906 (75.7280),92.9688 (92.8420)
46,layer4.0.downsample.0,7,0.7000000000000001,0.9974 (0.9658),74.6094 (75.7280),92.5781 (92.8420)
46,layer4.0.downsample.0,8,0.7999999999999999,1.0036 (0.9741),74.2188 (75.3900),92.1875 (92.7580)
46,layer4.0.downsample.0,8,0.7999999999999999,0.9599 (0.9741),75.7812 (75.3900),92.9688 (92.7580)
46,layer4.0.downsample.0,9,0.9,1.0323 (0.9961),73.8281 (74.8460),92.5781 (92.4560)
46,layer4.0.downsample.0,9,0.9,0.9801 (0.9961),75.3906 (74.8460),92.5781 (92.4560)
47,layer4.1.conv1,1,0.09999999999999999,0.9503 (0.9628),76.1719 (76.0220),93.3594 (92.9480)
47,layer4.1.conv1,1,0.09999999999999999,0.9862 (0.9628),75.0000 (76.0220),92.5781 (92.9480)
47,layer4.1.conv1,2,0.19999999999999998,0.9497 (0.9632),75.7812 (75.9940),93.3594 (92.9300)
47,layer4.1.conv1,2,0.19999999999999998,0.9853 (0.9632),74.6094 (75.9940),92.5781 (92.9300)
47,layer4.1.conv1,3,0.3,0.9839 (0.9650),74.6094 (75.9920),92.5781 (92.8880)
47,layer4.1.conv1,3,0.3,0.9575 (0.9650),75.3906 (75.9920),93.3594 (92.8880)
47,layer4.1.conv1,4,0.39999999999999997,0.9891 (0.9698),74.6094 (76.0220),92.5781 (92.8840)
47,layer4.1.conv1,4,0.39999999999999997,0.9692 (0.9698),75.7812 (76.0220),93.3594 (92.8840)
47,layer4.1.conv1,5,0.5,0.9863 (0.9820),76.1719 (75.8800),93.3594 (92.7380)
47,layer4.1.conv1,5,0.5,1.0079 (0.9820),74.2188 (75.8800),92.5781 (92.7380)
47,layer4.1.conv1,6,0.6,1.0219 (1.0083),75.0000 (75.4700),92.5781 (92.4940)
47,layer4.1.conv1,6,0.6,1.0359 (1.0083),74.2188 (75.4700),92.1875 (92.4940)
47,layer4.1.conv1,7,0.7000000000000001,1.0926 (1.0668),74.6094 (74.2840),92.1875 (91.8760)
47,layer4.1.conv1,7,0.7000000000000001,1.1018 (1.0668),73.0469 (74.2840),91.7969 (91.8760)
47,layer4.1.conv1,8,0.7999999999999999,1.2594 (1.2268),70.3125 (71.0100),89.4531 (89.9620)
47,layer4.1.conv1,8,0.7999999999999999,1.2452 (1.2268),70.3125 (71.0100),90.2344 (89.9620)
47,layer4.1.conv1,9,0.9,2.0261 (2.0285),55.8594 (56.3920),79.2969 (79.1220)
47,layer4.1.conv1,9,0.9,2.0396 (2.0285),55.9524 (56.3920),78.9062 (79.1220)
48,layer4.1.conv2,1,0.09999999999999999,0.9512 (0.9626),76.1719 (76.0060),93.3594 (92.9220)
48,layer4.1.conv2,1,0.09999999999999999,0.9863 (0.9626),75.0000 (76.0060),92.5781 (92.9220)
48,layer4.1.conv2,2,0.19999999999999998,0.9510 (0.9626),75.7812 (75.9880),93.3594 (92.9400)
48,layer4.1.conv2,2,0.19999999999999998,0.9863 (0.9626),74.6094 (75.9880),92.9688 (92.9400)
48,layer4.1.conv2,3,0.3,0.9879 (0.9620),75.0000 (75.9740),92.5781 (92.9660)
48,layer4.1.conv2,3,0.3,0.9481 (0.9620),76.1719 (75.9740),93.3594 (92.9660)
48,layer4.1.conv2,4,0.39999999999999997,0.9871 (0.9604),75.0000 (75.9780),92.5781 (92.9420)
48,layer4.1.conv2,4,0.39999999999999997,0.9508 (0.9604),75.7812 (75.9780),93.3594 (92.9420)
48,layer4.1.conv2,5,0.5,0.9477 (0.9596),75.7812 (75.8140),93.3594 (92.9300)
48,layer4.1.conv2,5,0.5,0.9953 (0.9596),74.4048 (75.8140),92.9688 (92.9300)
48,layer4.1.conv2,6,0.6,0.9474 (0.9663),75.7812 (75.5120),92.9688 (92.7640)
48,layer4.1.conv2,6,0.6,1.0098 (0.9663),74.6094 (75.5120),92.8571 (92.7640)
48,layer4.1.conv2,7,0.7000000000000001,1.0445 (1.0076),73.8281 (74.7000),91.7969 (92.4040)
48,layer4.1.conv2,7,0.7000000000000001,0.9896 (1.0076),75.0000 (74.7000),92.9688 (92.4040)
48,layer4.1.conv2,8,0.7999999999999999,1.2010 (1.2277),71.8750 (72.0820),91.4062 (91.1180)
48,layer4.1.conv2,8,0.7999999999999999,1.2669 (1.2277),70.7031 (72.0820),90.2344 (91.1180)
48,layer4.1.conv2,9,0.9,2.0762 (17426072432056.9238),64.0625 (63.4780),86.7188 (85.8500)
48,layer4.1.conv2,9,0.9,2.1427 (17426072432056.9238),62.5000 (63.4780),85.7143 (85.8500)
49,layer4.1.conv3,1,0.09999999999999999,0.9859 (0.9625),75.0000 (76.0040),92.5781 (92.9400)
49,layer4.1.conv3,1,0.09999999999999999,0.9506 (0.9625),76.1719 (76.0040),93.3594 (92.9400)
49,layer4.1.conv3,2,0.19999999999999998,0.9837 (0.9625),75.0000 (75.9860),92.5781 (92.9140)
49,layer4.1.conv3,2,0.19999999999999998,0.9505 (0.9625),75.7812 (75.9860),93.3594 (92.9140)
49,layer4.1.conv3,3,0.3,0.9822 (0.9627),74.4048 (75.9900),92.5781 (92.9180)
49,layer4.1.conv3,3,0.3,0.9511 (0.9627),75.3906 (75.9900),92.9688 (92.9180)
49,layer4.1.conv3,4,0.39999999999999997,0.9548 (0.9650),75.7812 (75.9740),93.3594 (92.9020)
49,layer4.1.conv3,4,0.39999999999999997,0.9865 (0.9650),74.6094 (75.9740),92.9688 (92.9020)
49,layer4.1.conv3,5,0.5,0.9597 (0.9673),75.7812 (75.8920),93.3594 (92.8720)
49,layer4.1.conv3,5,0.5,0.9869 (0.9673),74.6094 (75.8920),92.9688 (92.8720)
49,layer4.1.conv3,6,0.6,0.9967 (0.9698),74.6094 (75.7600),92.5781 (92.7600)
49,layer4.1.conv3,6,0.6,0.9644 (0.9698),75.7812 (75.7600),92.9688 (92.7600)
49,layer4.1.conv3,7,0.7000000000000001,1.0038 (0.9786),74.6094 (75.4740),91.7969 (92.5900)
49,layer4.1.conv3,7,0.7000000000000001,0.9758 (0.9786),76.1719 (75.4740),92.5781 (92.5900)
49,layer4.1.conv3,8,0.7999999999999999,1.0187 (1.0010),74.2188 (74.9980),91.6667 (92.3240)
49,layer4.1.conv3,8,0.7999999999999999,1.0057 (1.0010),75.0000 (74.9980),92.1875 (92.3240)
49,layer4.1.conv3,9,0.9,1.0693 (1.0684),73.8281 (73.4600),91.7969 (91.6900)
49,layer4.1.conv3,9,0.9,1.0687 (1.0684),72.6562 (73.4600),91.7969 (91.6900)
50,layer4.2.conv1,1,0.09999999999999999,0.9880 (0.9625),75.0000 (76.0240),92.5781 (92.9640)
50,layer4.2.conv1,1,0.09999999999999999,0.9504 (0.9625),76.1719 (76.0240),93.3594 (92.9640)
50,layer4.2.conv1,2,0.19999999999999998,0.9917 (0.9632),74.6094 (76.0100),92.5781 (92.9620)
50,layer4.2.conv1,2,0.19999999999999998,0.9540 (0.9632),75.7812 (76.0100),93.3594 (92.9620)
50,layer4.2.conv1,3,0.3,0.9610 (0.9661),75.7812 (76.0180),93.3594 (92.9780)
50,layer4.2.conv1,3,0.3,0.9914 (0.9661),75.0000 (76.0180),92.9688 (92.9780)
50,layer4.2.conv1,4,0.39999999999999997,0.9662 (0.9711),75.7812 (75.9360),92.9688 (92.8880)
50,layer4.2.conv1,4,0.39999999999999997,0.9974 (0.9711),75.0000 (75.9360),92.8571 (92.8880)
50,layer4.2.conv1,5,0.5,1.0166 (0.9804),74.2188 (75.8160),92.5781 (92.8080)
50,layer4.2.conv1,5,0.5,0.9817 (0.9804),75.3906 (75.8160),92.9688 (92.8080)
50,layer4.2.conv1,6,0.6,1.0361 (0.9992),75.0000 (75.5060),92.5781 (92.6400)
50,layer4.2.conv1,6,0.6,0.9951 (0.9992),75.0000 (75.5060),92.5781 (92.6400)
50,layer4.2.conv1,7,0.7000000000000001,1.0441 (1.0385),74.6094 (74.6900),91.7969 (92.2180)
50,layer4.2.conv1,7,0.7000000000000001,1.0540 (1.0385),74.4048 (74.6900),92.1875 (92.2180)
50,layer4.2.conv1,8,0.7999999999999999,1.1488 (1.1307),72.2656 (72.5080),90.6250 (91.0640)
50,layer4.2.conv1,8,0.7999999999999999,1.1103 (1.1307),71.8750 (72.5080),91.0156 (91.0640)
50,layer4.2.conv1,9,0.9,1.3931 (1.4157),66.4062 (66.2600),87.5000 (87.4560)
50,layer4.2.conv1,9,0.9,1.4299 (1.4157),66.4062 (66.2600),87.8906 (87.4560)
51,layer4.2.conv2,1,0.09999999999999999,0.9512 (0.9627),76.1719 (76.0040),92.9688 (92.9220)
51,layer4.2.conv2,1,0.09999999999999999,0.9870 (0.9627),75.0000 (76.0040),92.5781 (92.9220)
51,layer4.2.conv2,2,0.19999999999999998,0.9882 (0.9626),74.6094 (76.0220),92.5781 (92.9120)
51,layer4.2.conv2,2,0.19999999999999998,0.9512 (0.9626),76.1719 (76.0220),93.3594 (92.9120)
51,layer4.2.conv2,3,0.3,0.9534 (26679030274257.9492),76.1719 (75.9900),93.3594 (92.9040)
51,layer4.2.conv2,3,0.3,0.9897 (26679030274257.9492),75.0000 (75.9900),92.5781 (92.9040)
51,layer4.2.conv2,4,0.39999999999999997,0.9538 (0.9662),75.7812 (75.9400),93.3594 (92.8660)
51,layer4.2.conv2,4,0.39999999999999997,0.9951 (0.9662),75.3906 (75.9400),92.5781 (92.8660)
51,layer4.2.conv2,5,0.5,0.9580 (0.9704),75.3906 (75.8640),93.3594 (92.8640)
51,layer4.2.conv2,5,0.5,0.9987 (0.9704),75.0000 (75.8640),92.5781 (92.8640)
51,layer4.2.conv2,6,0.6,1.0048 (0.9772),74.6094 (75.7160),92.1875 (92.7840)
51,layer4.2.conv2,6,0.6,0.9666 (0.9772),75.7812 (75.7160),93.3594 (92.7840)
51,layer4.2.conv2,7,0.7000000000000001,0.9813 (0.9906),75.7812 (75.2820),92.9688 (92.5320)
51,layer4.2.conv2,7,0.7000000000000001,1.0248 (0.9906),75.0000 (75.2820),92.1875 (92.5320)
51,layer4.2.conv2,8,0.7999999999999999,1.0501 (1.0153),73.8281 (74.6000),92.1875 (92.1900)
51,layer4.2.conv2,8,0.7999999999999999,1.0247 (1.0153),74.2188 (74.6000),92.9688 (92.1900)
51,layer4.2.conv2,9,0.9,1.0968 (1.1048),73.0469 (72.4600),91.7969 (91.0480)
51,layer4.2.conv2,9,0.9,1.1250 (1.1048),71.4844 (72.4600),91.0156 (91.0480)
52,layer4.2.conv3,1,0.09999999999999999,0.9868 (0.9626),75.0000 (76.0120),92.5781 (92.9300)
52,layer4.2.conv3,1,0.09999999999999999,0.9509 (0.9626),76.1719 (76.0120),92.9688 (92.9300)
52,layer4.2.conv3,2,0.19999999999999998,0.9860 (0.9628),75.0000 (76.0140),92.5781 (92.9380)
52,layer4.2.conv3,2,0.19999999999999998,0.9521 (0.9628),76.1719 (76.0140),93.3594 (92.9380)
52,layer4.2.conv3,3,0.3,0.9543 (0.9632),76.1719 (76.0060),93.3594 (92.9220)
52,layer4.2.conv3,3,0.3,0.9865 (0.9632),75.0000 (76.0060),92.9688 (92.9220)
52,layer4.2.conv3,4,0.39999999999999997,0.9564 (0.9644),76.1719 (75.9920),93.3594 (92.9020)
52,layer4.2.conv3,4,0.39999999999999997,0.9857 (0.9644),75.0000 (75.9920),92.9688 (92.9020)
52,layer4.2.conv3,5,0.5,0.9571 (0.9658),75.3906 (75.9600),93.3594 (92.8820)
52,layer4.2.conv3,5,0.5,0.9904 (0.9658),74.6094 (75.9600),92.9688 (92.8820)
52,layer4.2.conv3,6,0.6,0.9638 (0.9681),75.7812 (75.9420),92.9688 (92.8540)
52,layer4.2.conv3,6,0.6,0.9922 (0.9681),74.2188 (75.9420),92.9688 (92.8540)
52,layer4.2.conv3,7,0.7000000000000001,1.0066 (0.9739),74.4048 (75.6920),92.5781 (92.7460)
52,layer4.2.conv3,7,0.7000000000000001,0.9760 (0.9739),75.7812 (75.6920),92.5781 (92.7460)
52,layer4.2.conv3,8,0.7999999999999999,1.0196 (0.9892),74.2188 (75.2340),92.2619 (92.4300)
52,layer4.2.conv3,8,0.7999999999999999,0.9983 (0.9892),74.6094 (75.2340),92.5781 (92.4300)
52,layer4.2.conv3,9,0.9,1.0801 (1.0606),73.4375 (73.6800),91.7969 (91.5720)
52,layer4.2.conv3,9,0.9,1.0745 (1.0606),73.0469 (73.6800),91.4062 (91.5720)
53,fc,1,0.09999999999999999,0.9509 (0.9627),76.1719 (76.0000),93.3594 (92.9380)
53,fc,1,0.09999999999999999,0.9863 (0.9627),75.0000 (76.0000),92.5781 (92.9380)
53,fc,2,0.19999999999999998,0.9865 (0.9624),75.0000 (75.9840),92.9688 (92.9340)
53,fc,2,0.19999999999999998,0.9508 (0.9624),76.1719 (75.9840),93.3594 (92.9340)
53,fc,3,0.3,0.9516 (0.9621),75.7812 (75.9680),93.3594 (92.9400)
53,fc,3,0.3,0.9869 (0.9621),75.0000 (75.9680),92.5781 (92.9400)
53,fc,4,0.39999999999999997,0.9508 (0.9623),75.3906 (75.8860),93.3594 (92.8900)
53,fc,4,0.39999999999999997,0.9830 (0.9623),75.0000 (75.8860),92.9688 (92.8900)
53,fc,5,0.5,0.9888 (0.9638),75.0000 (75.8280),92.5781 (92.8580)
53,fc,5,0.5,0.9502 (0.9638),75.3906 (75.8280),92.9688 (92.8580)
53,fc,6,0.6,1.0026 (0.9692),75.0000 (75.7020),92.9688 (92.7280)
53,fc,6,0.6,0.9500 (0.9692),75.7812 (75.7020),92.9688 (92.7280)
53,fc,7,0.7000000000000001,1.0039 (0.9825),74.2188 (75.3380),92.9688 (92.5160)
53,fc,7,0.7000000000000001,0.9613 (0.9825),75.3906 (75.3380),93.3594 (92.5160)
53,fc,8,0.7999999999999999,1.0019 (1.0148),74.6094 (74.6780),92.5781 (92.2380)
53,fc,8,0.7999999999999999,1.0343 (1.0148),73.4375 (74.6780),92.5781 (92.2380)
53,fc,9,0.9,1.0983 (1.1072),73.0469 (73.0660),91.4062 (91.3380)
53,fc,9,0.9,1.1111 (1.1072),72.6562 (73.0660),91.4062 (91.3380)
